"security","symbol","date_first_added"
"3M Company","MMM",1976-08-09
"Abbott Laboratories","ABT",1964-03-31
"AbbVie Inc.","ABBV",2012-12-31
"ABIOMED Inc","ABMD",2018-05-31
"Accenture plc","ACN",2011-07-06
"Activision Blizzard","ATVI",2015-08-31
"Adobe Inc.","ADBE",1997-05-05
"Advanced Micro Devices Inc","AMD",2017-03-20
"Advance Auto Parts","AAP",2015-07-09
"AES Corp","AES",1998-10-02
"AFLAC Inc","AFL",1999-05-28
"Agilent Technologies Inc","A",2000-06-05
"Air Products & Chemicals Inc","APD",1985-04-30
"Akamai Technologies Inc","AKAM",2007-07-12
"Alaska Air Group Inc","ALK",2016-05-13
"Albemarle Corp","ALB",2016-07-01
"Alexandria Real Estate Equities","ARE",2017-03-20
"Alexion Pharmaceuticals","ALXN",2012-05-25
"Align Technology","ALGN",2017-06-19
"Allegion","ALLE",2013-12-02
"Alliant Energy Corp","LNT",2016-07-01
"Allstate Corp","ALL",1995-07-13
"Alphabet Inc. (Class A)","GOOGL",2014-04-03
"Alphabet Inc. (Class C)","GOOG",2006-04-03
"Altria Group Inc","MO",1957-03-04
"Amazon.com Inc.","AMZN",2005-11-18
"Amcor plc","AMCR",2019-06-07
"Ameren Corp","AEE",1991-09-19
"American Airlines Group","AAL",2015-03-23
"American Electric Power","AEP",1957-03-04
"American Express Co","AXP",1976-06-30
"American International Group","AIG",1980-03-31
"American Tower Corp.","AMT",2007-11-19
"American Water Works Company Inc","AWK",2016-03-04
"Ameriprise Financial","AMP",2005-10-03
"AmerisourceBergen Corp","ABC",2001-08-30
"AMETEK Inc.","AME",2013-09-23
"Amgen Inc.","AMGN",1992-01-02
"Amphenol Corp","APH",2008-09-30
"Analog Devices, Inc.","ADI",1999-10-12
"ANSYS","ANSS",2017-06-19
"Anthem","ANTM",2002-07-25
"Aon plc","AON",1996-04-23
"A.O. Smith Corp","AOS",2017-07-26
"Apache Corporation","APA",1997-07-28
"Apartment Investment & Management","AIV",2003-03-14
"Apple Inc.","AAPL",1982-11-30
"Applied Materials Inc.","AMAT",1995-03-16
"Aptiv PLC","APTV",2012-12-24
"Archer-Daniels-Midland Co","ADM",1981-07-29
"Arista Networks","ANET",2018-08-28
"Arthur J. Gallagher & Co.","AJG",2016-05-31
"Assurant","AIZ",2007-04-10
"AT&T Inc.","T",1983-11-30
"Atmos Energy","ATO",2019-02-15
